# DL iota
1.440418121678985131e+02 4.678920645131605660e-01
1.834949057701320498e+02 7.246560167301834277e-01
1.242752043427800288e+02 7.929480344229031807e-01
1.283193563714436323e+02 1.350569358183872026e+00
1.599297058534481550e+02 8.997415896600151619e-01
1.981792537859719516e+02 1.464463700035556759e-01
1.456652601931639026e+02 5.218087997333427097e-01
1.851010693563731593e+02 1.944352483958842193e-01
1.562771643950578095e+02 7.353631363438964952e-01
1.692986224753557849e+02 4.501889394666931388e-01
2.303795979138058954e+02 3.469356391141129037e-01
1.171203368695491633e+02 7.467511894774334635e-01
1.590260523293866299e+02 7.115513105175135244e-01
1.793162723885227479e+02 4.193735324832079114e-01
1.720218074136515440e+02 5.344914314380166953e-01
1.671205109210598607e+02 5.648338953217182379e-01
1.690361183070191942e+02 3.810990995066026454e-01
1.755551683208450413e+02 5.856170288732509555e-01
1.694378628771241893e+02 4.692233814362412048e-01
1.998542062382746849e+02 1.009048739207501350e-01
1.856432769795658260e+02 9.945799667200758143e-02
1.329316668860585935e+02 8.783356827794400745e-01
1.302925002501792733e+02 8.651201818196321280e-01
1.577192168572055095e+02 4.168102015663131543e-01
1.315049889988123937e+02 3.957990480677744949e-01
1.639869840433845241e+02 5.658161627545910122e-01
1.501152652934195544e+02 9.423800428095859827e-01
1.300310547791225133e+02 9.199815473218014850e-01
1.449470567764032580e+02 5.080861900104993722e-01
1.486966415858705091e+02 3.969387258713929501e-01
1.407096000098340483e+02 4.097631625565751889e-01
1.754871521908426928e+02 4.534653107108956860e-01
1.924829573310990156e+02 3.364466427618562072e-01
1.557290952055030289e+02 6.213392472524015275e-01
1.474568724595706328e+02 3.906440287069137263e-01
1.335499046722552237e+02 1.075601893741065851e+00
1.792015545736947786e+02 2.527677348737970009e-01
1.640280569700989588e+02 4.273604588513080782e-01
2.009564351187878515e+02 1.833298243545020689e-01
1.038107644717985494e+02 3.544699675287348306e-01
1.413512086349549861e+02 7.052249839315668511e-01
1.815506255164378615e+02 4.641353979168853505e-01
1.464077040984821849e+02 2.075440045780024834e-01
2.054755508801225687e+02 2.828816618572123076e-01
1.339460599655957935e+02 8.637290158826553821e-01
1.536450713384602125e+02 2.543411226578893292e-01
1.703437000567495829e+02 6.849381898557731496e-01
1.430933139518322719e+02 4.893077784139825970e-01
1.525791718086665583e+02 4.041201364336913793e-01
1.363412170772395200e+02 7.457978892844078223e-01
1.869296127426392786e+02 4.678001448670047191e-01
1.555198181046020522e+02 4.654178182431829569e-01
1.552404488416426318e+02 7.523202023842651132e-01
1.277495578743498044e+02 9.382056201593250711e-01
1.911152629947236505e+02 1.116174854773708258e-01
1.764908582677134348e+02 3.991424763370399198e-01
1.835851304597536853e+02 4.589222030181581147e-01
1.352973908123844353e+02 2.547550157729089326e-01
1.611757310644598249e+02 3.879122727657667302e-01
1.358330889389955018e+02 7.231228307774382191e-01
1.703315998388737285e+02 4.387218235772704089e-01
1.507818522404981252e+02 3.640800972429324434e-01
1.411303305296074768e+02 2.925685136535953745e-01
1.877701264463479163e+02 5.306529307569034515e-01
1.875650482640899952e+02 2.371810590665914542e-01
1.017841855818566614e+02 9.811509144082551925e-01
1.017252567715306242e+02 6.933766972156574226e-01
1.830818047215173578e+02 6.266609365283598576e-01
2.175879826690793948e+02 3.855014875807861729e-01
1.475785602936741441e+02 3.155939742770949019e-01
1.563558349169856569e+02 4.889541775045270211e-01
1.975626843663862076e+02 4.453435346702522835e-01
1.581673106852122714e+02 6.231843621273482903e-01
2.586563249900103187e+02 3.045751412506566003e-01
1.535170402443185083e+02 5.786561931959504079e-01
1.565130359949972956e+02 8.830276089459907496e-01
1.563900475883664569e+02 8.502303925929584061e-01
2.072151631213171470e+02 5.236731778062653220e-01
1.121913805163356841e+02 2.208276574662164649e-01
9.793733063150499163e+01 3.307713153463649469e-01
1.329608612970158674e+02 8.213226494894154683e-02
1.895536994274557117e+02 3.697156190921777608e-01
1.439036311742256373e+02 6.046298679219388461e-01
1.012258349656541725e+02 1.041789348293426176e+00
1.277959348799373061e+02 8.580279489678228622e-01
1.422014378188705450e+02 2.062008060352307492e-01
1.806337123174451733e+02 7.431831382183499146e-01
1.608964106143056654e+02 1.655076513432951479e-01
2.097333904958561845e+02 9.524905262307058196e-02
1.894571582707568780e+02 4.988167143940098747e-01
1.370325674784916146e+02 3.648486934264315584e-01
1.463059431730048061e+02 3.265137747535920565e-01
1.824918893113831189e+02 2.397135635218377026e-01
2.079223997082349058e+02 4.111580231567795174e-01
1.206343315355989034e+02 1.545470266788357527e+00
1.341770680612076774e+02 8.541136190866247535e-01
9.320493310600573977e+01 7.319885678710438270e-01
1.313170414436523572e+02 6.973087754091618073e-01
9.123369813537918560e+01 6.378848325532726626e-01
1.302404417767533005e+02 6.273229671151769882e-01
1.436198830388231897e+02 4.663536195419650254e-01
1.534098363546457620e+02 4.595482709349927308e-01
1.645040480988818672e+02 4.538668846315503380e-01
1.682076488392422675e+02 1.742346806957337790e-01
1.329173648086411106e+02 7.696417566785322961e-01
1.061190544912535074e+02 5.922195920127458768e-01
1.361134745258211467e+02 6.960460460085239331e-01
1.272218917643258891e+02 4.357817221762629312e-01
1.351339350526609167e+02 5.111597476490263858e-01
1.492444421026220596e+02 8.504442738618791520e-01
1.535561111210602689e+02 5.995124079199899425e-01
2.074223829538171913e+02 4.114035155629147678e-01
1.307840131216677833e+02 1.252185619966978969e-01
1.158956431062788397e+02 5.664150612209740698e-01
1.426179056040979560e+02 4.143136476048047689e-01
9.136680401372105109e+01 1.051895217316005215e+00
1.357587249870719006e+02 2.740800572498227616e-01
1.873148140222504594e+02 4.693790398687195942e-01
1.546507862505435469e+02 7.630086883340370107e-01
1.991374999569428326e+02 4.778281294082559749e-01
1.433761945781808436e+02 4.646206671072241612e-01
2.132448609990172486e+02 4.582462351132371992e-01
1.537196988848394028e+02 3.698622422803511944e-01
1.678163466195755404e+02 4.949608033541386121e-01
1.641742348035729719e+02 5.835012592206422211e-01
9.914017756761397493e+01 1.223095755202801893e+00
1.699628261466112917e+02 4.989353112346052721e-01
1.446234588381455239e+02 9.675091944666691646e-01
1.171011830111278584e+02 3.881359945641623677e-01
1.274377474689199943e+02 5.263392273811734468e-01
1.311038015221313913e+02 4.814315154159397037e-01
1.313725966773854452e+02 6.073413270122305363e-01
1.899852641306953842e+02 4.599393981387930874e-01
1.069737183294896852e+02 7.467661883566276693e-01
1.628615816459125085e+02 1.523430407441849488e-01
1.773448197203928487e+02 3.422849085545169312e-01
1.837973895533769166e+02 5.173056978364203307e-01
1.892925937746529144e+02 4.234822431172865498e-01
1.794981748574651021e+02 2.126161941617523976e-01
1.665720943827803353e+02 5.670076733359572518e-01
1.785750097974854782e+02 5.256535791750790443e-01
1.559200621248002108e+02 7.624297806327406946e-02
2.102484163876089838e+02 2.479005765936801442e-01
1.285721371810651306e+02 1.295285196816450046e+00
1.344473276524776395e+02 8.817644577246260829e-01
1.929303073424283070e+02 4.799238343754668179e-01
1.759315822782970997e+02 3.169132525409603662e-01
1.436635256929304489e+02 5.478228419311795827e-01
1.871881103728845801e+02 3.085651950275404842e-01
1.310368586297828699e+02 9.194993931635746520e-01
1.862050284903733370e+02 3.235506209505714104e-01
1.529157815939888962e+02 6.010003771671978967e-01
1.658958361060596758e+02 6.232252199777463808e-01
1.777485259747100486e+02 2.524290576122809604e-01
1.744386384305116167e+02 5.557053401151605954e-01
8.756838455323502046e+01 6.687366970795931564e-01
1.628309841133417990e+02 5.676547916175304076e-01
1.601625463954173654e+02 7.560628347764124513e-01
1.768343247971612868e+02 6.902759876948083573e-02
1.685676171792365210e+02 3.832512406727386356e-01
1.761238818441322564e+02 5.156373273281347203e-01
1.466151878287323029e+02 1.723137386726487641e-01
1.396786791133541215e+02 7.557328300515302466e-01
1.876885588620041005e+02 1.769846586107806097e-01
1.234611900809332496e+02 4.567790633638693087e-01
1.513374006647627255e+02 5.613923666213315178e-01
1.613848010683452401e+02 4.323787034407731156e-01
1.854366132367483431e+02 5.144418794137460837e-01
1.664023248860666797e+02 3.110372576414891510e-01
2.180691248613807431e+02 3.451816091140199605e-01
1.441508705408862454e+02 7.470507201520513174e-01
1.731258086543312800e+02 7.472868242451640164e-01
1.457377817743640378e+02 2.027834931061238410e-01
1.323261100112260920e+02 4.130388113637460945e-01
2.070060230834934600e+02 3.175157006852591390e-01
1.583409618048944765e+02 6.187079610638619442e-01
2.216303529818935374e+02 1.174433208560610176e-01
1.755938235330312978e+02 2.440545601954310362e-01
1.446234588381455239e+02 9.675091944666691646e-01
1.065920326129158440e+02 1.196821921927559984e-01
1.694251903681843601e+02 2.194518389837902816e-01
1.811921932570752176e+02 4.966987273773122435e-01
1.145079893369712210e+02 1.038258763958710862e+00
1.978120595777728283e+02 4.049676228555147972e-01
1.780687671443924387e+02 8.140992127325442917e-02
1.603230161883989808e+02 5.757191813921336276e-01
1.743011680652676318e+02 3.865478281872796185e-01
1.165390172137502134e+02 6.402779542824785786e-01
1.198907433816817161e+02 9.058908785135288966e-01
1.106770894331606456e+02 7.559467579102894241e-01
1.828392084386788667e+02 3.100619389127581282e-01
2.125887836134550923e+02 3.779122186574538356e-01
1.791604673292014240e+02 4.251285250820240336e-01
1.394893243759934194e+02 3.160501214417976712e-01
1.449904378244863494e+02 3.450193606590980511e-01
1.825352107582148165e+02 6.856524280956239892e-01
1.452248176091356981e+02 9.417228216242918837e-01
1.868464794333915791e+02 2.204659448386664111e-01
1.751647452954920823e+02 3.347549918658890844e-01
1.031783378946537937e+02 9.171646402189992386e-01
1.118774701845351842e+02 8.078965276151134356e-01
1.657816122940450327e+02 1.211794296288701417e-01
1.306390767247646636e+02 5.555451904929329388e-01
1.385232915329535217e+02 5.135442770341928226e-02
1.696809292103538098e+02 6.304204965403497063e-01
1.358330889389955018e+02 7.231228307774382191e-01
1.751139638664343465e+02 5.175145017010298609e-01
1.576220165460425164e+02 6.057028611255165229e-01
1.898749355863573669e+02 6.124404109157461917e-01
1.474149616352500516e+02 3.901712582703362742e-01
1.760015914088681939e+02 4.823498421089360555e-01
1.446332664630795648e+02 5.673148412480244485e-01
1.512730645363950259e+02 7.065551844591118069e-01
1.375727710477054302e+02 7.163794683712327860e-01
1.544880552654540509e+02 5.077533071305988521e-01
1.692704491605886119e+02 6.640728152908498272e-01
1.372493070711875021e+02 4.978249514908381634e-01
1.240700427600181825e+02 1.470031681027948456e-01
1.027633326666681057e+02 2.935453125887677039e-01
1.588584488127623047e+02 6.996134831402285315e-01
1.206738959721297419e+02 2.642221398026079471e-01
1.114856615716132069e+02 8.125764428832011887e-01
1.232050086395186241e+02 6.755524920225992602e-01
1.699307821342652289e+02 2.466933724870394029e-01
1.556687018810927725e+02 5.963117097601102756e-01
1.317183101386036697e+02 7.243964315718196545e-01
9.625100729610639405e+01 1.166342149780021487e+00
1.338047998586600329e+02 4.009686785630300898e-01
1.153784848437640136e+02 6.589331403064284665e-01
1.530294686636473784e+02 1.001624904486160261e+00
8.933927118005252055e+01 1.123899765406710216e+00
1.379317558123499907e+02 9.572439706790690783e-01
1.629881298703075458e+02 3.472695785426022086e-01
1.791310348180201970e+02 7.764691971842849760e-01
1.220898523009682748e+02 4.668419010078864728e-01
1.899853902762484097e+02 7.144274533412575678e-01
2.082701417496081149e+02 5.201487912338139674e-01
1.859368317702266040e+02 1.040144570861718520e-01
1.560308886855470973e+02 8.224121884370233504e-01
1.544648638894325074e+02 4.860765290185447424e-02
9.522272856516497086e+01 5.266639179426317874e-01
1.574052910024276173e+02 4.121647171847034885e-01
1.643978145732739904e+02 2.055485505097243426e-01
1.012383376381395266e+02 1.437771460159393833e-01
1.265267303816417979e+02 5.935496337944794476e-01
1.887712421677526322e+02 1.898906267294129258e-01
1.828392084386788667e+02 3.100619389127581282e-01
2.065459471015365409e+02 2.917965191190723395e-01
1.153650088944001055e+02 4.974143451988144449e-01
1.350526197428245041e+02 2.974890446526923249e-01
7.922050431050318764e+01 6.822286760007497675e-01
1.321891435119704852e+02 2.129459882565805096e-01
1.851653418308811467e+02 5.198940402107773417e-01
1.777485259747100486e+02 2.524290576122809604e-01
1.558649007001679365e+02 5.656532060094690006e-01
2.039743828715687357e+02 3.251126853089455482e-01
1.624815927874985277e+02 4.688249335959878139e-01
1.481974852705041314e+02 8.249554552872253588e-01
1.436837391269926059e+02 7.768901045638840763e-01
1.149232705675362638e+02 7.920692437089611460e-01
1.762969753927353906e+02 5.973601112981006267e-01
1.687658896604788481e+02 2.369967060952005156e-01
1.403264307150752757e+02 4.309315054551290380e-01
1.410835482482273164e+02 5.454275366480323406e-01
1.371949310403595632e+02 3.665056301756206558e-01
1.716998947991948512e+02 9.177558653040769621e-02
1.644262956905106137e+02 6.330721828389065386e-01
1.447845874655110379e+02 7.178449178993755453e-01
1.987697893502148077e+02 1.985613222275076917e-01
1.603002564212232528e+02 9.125925629387937610e-01
1.646587342909777760e+02 3.109732769561248666e-01
1.741015005745657618e+02 5.530814145509610480e-01
1.537649001495499306e+02 5.083230967279561696e-01
9.440179498146316917e+01 4.779663715155107462e-01
1.175340499958219311e+02 9.950701389984527578e-01
